Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Eleven Tips for the .NET Developer,"This course from Learn-it Labs offers a deep dive into advanced .NET development techniques aimed at improving your coding workflows and application performance. Join instructor Walt Ritscher as he shows you how to distribute your applications efficiently and effectively. Learn how to manage single file deployment, manipulate and flatten sequences with LINQ's SelectMany, extend the functionality of the DateOnly type, transform data into more readable formats, return read-only collections safely, construct path strings for Linux and Windows, create fake data for testing, and more. Additionally, you'll learn to implement a version endpoint for web APIs, count Unicode characters correctly, and determine shared key values with LINQ's ToLookup method. By the end of this course, you will have mastered practical techniques to enhance your .NET applications and data manipulation methods.",Course,2024-12-13 08:36 UTC,N/A,false,N/A,
Training Neural Networks in Python (2020),"Having a variety of great tools at your disposal isn’t helpful if you don’t know which one you really need, what each tool is useful for, and how they all work. In this course, take a deep dive into the inner workings of neural networks, so that you're able to work more effectively with machine learning tools. Instructor Eduardo Corpeño helps you learn by example by providing a series of exercises in Python to help you to grasp what’s going on inside. Discover how to relate parts of a biological neuron to Python elements, which allows you to make a model of the brain. Then, learn how to build and train a network, as well as create a neural network that recognizes numbers coming from a seven-segment display. Even though you'll probably work with neural networks from a software suite rather than by writing your own code, the knowledge you’ll acquire in this course can help you choose the right neural network architecture and training method for each problem you face.",Course,2021-09-28 20:57 UTC,N/A,false,N/A,
20 Habits of Executive Leadership,"There are thousands of books and entire workshops on the high-level strategies of executive leadership. But what about the daily minutiae of leadership? How do you, as an executive leader, balance everything on your shoulders and still stay sane? How do you achieve a balance between quality of life and leading your organization to success? In this course, Aaron Marshall offers 20 manageable and beneficial habits you can build into your life to help you flourish as an executive leader. As the chief operating officer of the Santa Barbara Zoo, Aaron has a long history of managing executive leadership with thoughtfulness and intention. He teaches you habits to keep you grounded and habits to help you stay disciplined, habits for handling your relationships, and habits to become a more discerning thinker. And best of all, these habits can easily be integrated into your life, starting today.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-11-01 17:55 UTC,N/A,false,N/A,
Public Speaking for Non-Native English Speakers,"Speaking in public isn't easy for most people, and if English isn’t your first or second language, it might be even more challenging. Designed specifically for non-native English speakers, this course provides practical strategies and techniques to increase clarity and confidence when communicating in English. Executive communication coach and professor Dr. Peter Novak embraces linguistic and cultural diversity in the workplace. Instead of focusing on your accent, Dr. Novak encourages you to shift your efforts towards listener-friendly delivery and embrace your multilingual self. He covers strategies to identify and reduce accent bias, plus specific techniques to increase understandability and generate confidence. Dr. Novak presents a step-by-step guide on how to score a script for delivery, so you can focus on making a better connection with the audience. Strengthen your delivery and build your confidence with these easily integrated approaches to public speaking.
<br><br>
Note: This course was created by the Strictly Speaking Group. We are pleased to host this training in our library.",Course,2025-04-19 14:04 UTC,N/A,false,N/A,
Learning Azure Durable Functions,"<p>If you’re already familiar with Azure Functions, you may be curious to learn more about Durable Functions. As an extension of Azure Functions, Durable Functions excel at long-running, stateful workflows that need to be done in a serverless computing environment. This is especially true when you need to define such a stateful workflow, as the Durable Functions extension manages a lot behind the scenes for you, allowing you to focus more intently on the code.</p><p>In this course, instructor Adrienne Tacke gives you an overview of what Durable Functions are, how they differ from Azure Functions, when to use Durable Functions, and common patterns and situations suitable for using Durable Functions like a pro. Get a breakdown of how Durable Functions work by exploring several real-world use cases of Durable Function patterns in actions, including function chaining, fan-out/fan-in, async HTTP APIs, monitors, human interactions, aggregators, and more.</p>",Course,2025-01-03 20:45 UTC,N/A,false,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-05-03 16:19 UTC,N/A,false,N/A,
Big Data Analytics with Hadoop and Apache Spark,"Apache Hadoop was a pioneer in the world of big data technologies, and it continues to lead in enterprise big data storage. Apache Spark is the top big data processing engine and provides an impressive array of features and capabilities. When used together, the Hadoop Distributed File System (HDFS) and Spark can provide a truly scalable setup for big data analytics. In this course, data analytics expert Kumaran Ponnambalam shows you how to leverage these two technologies to build scalable and optimized data analytics pipelines. Explore ways to optimize data modeling and storage on HDFS; discuss scalable data ingestion and extraction using Spark; and review actionable tips for optimizing data processing in Spark. Plus, complete a use case project that allows you to practice your new techniques.",Course,2025-05-12 16:45 UTC,N/A,false,N/A,
Advanced Python (2018),"Develop your Python programming skills. Python is a great choice for building all kinds of applications, but to fully take advantage of its power and flexibility, you need to master all its advanced functionality. In this course, you can learn how to leverage next-level Python features such as object-oriented special class methods, use logging to track performance and user activity, see how to port code from Python 2 to 3, and make your code more efficient and easier to read and maintain. Instructor Joe Marini also shows how to manipulate data, build custom classes and functions, create lists, and write more elegant, optimized code.",Course,2021-06-17 22:15 UTC,N/A,false,N/A,
C Essential Training,"C is as essential as ever. This powerful language lies at the heart of JavaScript and Objective-C and is a popular language for developing embedded systems. This course teaches the fundamentals of programming in C, covering four introductory aspects: code structure, data, program flow, and functions. Instructor Dan Gookin dissects the anatomy of C, shows how data is stored in variables and values, and demonstrates how to use operators to perform math, modify variable values, evaluate expressions, and more. Then you can see how these basic elements fit together in control structures like loops—where the real logic comes into play. Finally, you can learn to use and write functions, the workhorse of the C language, which help accomplish basic and complex tasks in the code, eliminate repetition, and make code more readable. Make sure to take the challenges issued throughout the course to test your new programming skills and compare your solutions with the instructor's.",Course,2022-10-18 16:17 UTC,N/A,false,N/A,
Large Language Models: Text Classification for NLP using BERT,"Transformers are taking the natural language processing (NLP) world by storm. In this course, instructor Jonathan Fernandes teaches you all about this go-to architecture for NLP and computer vision tasks and must-have skill in your Artificial Intelligence toolkit. Jonathan uses a hands-on approach to show you the basics of working with transformers in NLP and production. He goes over BERT model sizes, bias in BERT, and how BERT was trained. Jonathan explores transfer learning, shows you how to use the BERT model and tokenization, and covers text classification.  After thoroughly explaining the transformer model architecture, he finishes up with some additional training runs.",Course,2022-11-02 19:15 UTC,N/A,false,N/A,
AI Pair Programming with GitHub Copilot X,"<p>The future of programming is all about collaboration—humans working with machines to achieve exciting and unimagined results. AI pair programming, which integrates human- and machine-generated code, is a prime example of a tool that alleviates tedious, menial tasks to let developers focus their attention on higher-level concerns. In this course, instructor Ronnie Sheer shows you how to get the most out of GitHub Copilot X, one of the most useful and impactful new tools for streamlining software development with AI based on the most recent version of ChatGPT-4.</p><p>Get a comprehensive introduction on how to use Copilot to integrate your coding with the latest AI technology. Ronnie goes over the major features of the application, focusing specifically on Pythonista and JavaScript, and using back-end and front-end Copilot tools. By the end of this course, you’ll be prepared to create data models, implement REST APIs, and write tests, client-side code and templates, HTML, CSS, and more.</p>",Course,2023-11-16 18:56 UTC,N/A,false,N/A,
"Confidence: How to Overcome Self-Doubt, Insecurity, and Fears","Confidence comes from within yourself. In this course, instructor TJ Guttormsen provides information and practical exercises to help you change and improve the thoughts and emotions that might be holding you back, so that you can participate more fully, both professionally and privately, in the world around you. TJ explains your comfort zone and growth zone and shows you how to create your own growth zone exercises. He discusses how to train your superego and remove self-doubt, then goes into where feelings of fear and anxiety come from and how you can overcome them. TJ describes ways to overcome some common challenges, such as comparing yourself to others, the need for approval, imposter syndrome, and people-pleasing. He goes in-depth on techniques to understand others and manage their expectations, then concludes with action steps to build your social confidence.
<br><br>
Note: This course was created by TJ Guttormsen. We are pleased to host this training in our library.",Course,2023-03-02 21:37 UTC,N/A,false,N/A,
Code Clinic: C++,"Successful programmers know more than just how to code. They also know how to think about solving problems. <i>Code Clinic</i> is a series of courses in which our instructors solve the same problems using different programming languages. In each course, instructors provide tips and tricks for working in a particular language and help you grasp why you might want to learn one language over another. Here, Olivia Stone works with C++. Throughout the course, Olivia provides an overview of her solutions to different challenges in C++. Challenges include topics such as geolocation, face recognition, and accessing peripherals. Visit other courses in the series to see how to solve the same challenges in languages like JavaScript, PHP, Python, Ruby, Go, and Swift.",Course,2022-07-04 20:06 UTC,N/A,false,N/A,
Effectively Leading Digital Transformation,"Organizations must radically transform their processes as new tools and systems continue to roll out. What is driving this revolution?  How can you help your organization prepare? How can YOU prepare? In this course, senior-level learning and development professional Phil Gold highlights how you can lead your business to success as you implement more digital transformations of workflows and systems. Learn about the background of business transformation, from definitions to working online to the evolution of automation and AI. Go over potential blockers to a successful transformation and how you can overcome them. Discover techniques to manage your digital transformation, and explore ways you can use AI effectively in the workplace. Plus, learn the steps you need to take beyond the launch to keep your organization’s digital transformation moving in the right direction.",Course,2023-11-08 20:06 UTC,N/A,false,N/A,
Artificial Intelligence and Business Strategy,"Do you understand the impact of AI on a business strategy well enough to take a proactive role in transforming your organization? If you could use some help in this area, instructor Anil Gupta has you covered. In this course, he shows you how deploying AI tools can boost your company’s competitive advantage and help you leapfrog over your competition. Anil explains what AI is and how it is deployed in products and services. He goes over the importance of data for developing AI algorithms, as well as machine learning concepts. Anil covers how AI can be deployed to gather market intelligence, improve product recommendations, and offer more personalized digital services. He describes how to use AI to make the supply chain network more efficient, responsive, and resilient, as well as how AI can speed up and increase the effectiveness of traditional HR tasks. Anil also discusses the ethics of strategic AI initiatives.",Course,2022-04-20 20:20 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2021-08-05 19:43 UTC,N/A,false,N/A,
C#: Design Patterns Part 1,"Design patterns are an important part of programming. Rather than programming solutions to every issue from scratch, developers can implement these patterns that solve common problems. In this course, instructor Richard Goforth explains the purpose and effective use of key design patterns in C#. Richard begins by discussing why design patterns make sense, what they are, and how they are grouped and categorized. He then provides an overview of the creational, behavioral, and structural Gang of Four design patterns and how they are applied in C# and .NET. Next, he takes a deeper dive into the Iterator, Factory Method, and Adapter patterns, providing hands-on challenges that help you master the application of these patterns in your own code.",Course,2023-03-30 07:51 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2022-04-28 18:27 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-01-20 19:23 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2023-08-01 20:51 UTC,N/A,false,N/A,
Deep Learning: Model Optimization and Tuning (2022),"Deep Learning as a technology has grown leaps and bounds in the last few years. More and more AI solutions use Deep Learning as their foundational technology. Studying this technology, however, presents several challenges. IT professionals from varying backgrounds need a simplified resource to learn the concepts and build models quickly. In this course, instructor Kumaran Ponnambalam provides a simplified path to understand various optimization and tuning options available for deep learning models and shows you how to use these options to improve models. He begins by reviewing Deep Learning, including artificial neural networks and architectures. Next, Kumaran discusses the process of hyper parameter tuning. He examines the building blocks of neural networks and the levers available to tune them. Kumaran offers recommendations and best practices. Then he concludes with an end-to-end tuning example.",Course,2022-05-25 15:51 UTC,N/A,false,N/A,
Modern Threat Hunting Strategies to Identify Attacks,"<p>Fortify your organization's defenses against sophisticated cyber threats by learning how to implement methods and techniques that can prevent, identify, and mitigate attacks. Examine the critical areas of permissions, privileges, and network tracing to enhance the protection against cyberattacks. Discover a checklist of steps to take that strengthen security hygiene. Learn about static and dynamic malware analysis. Review practical case studies of misconfigured service accounts and Kerberoasting attacks.</p><br/>
<p>The course also covers methods for uncovering lateral movements and network communications that criminals use to navigate through and harm networks. Learn about important techniques for extracting and reviewing logs and traces from disks and memory, for comprehensive monitoring and responding quickly to potential threats. Join instructor Paula Januszkiewicz who equips you to be able to implement robust security measures and contribute to the overall system integrity of your organization.</p>",Course,2024-11-05 06:31 UTC,N/A,false,N/A,
Python Parallel and Concurrent Programming Part 1,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously, increases the overall processing throughput, and is key to writing faster and more efficient applications. Curious about how parallel programming works in the real world? In this course, join instructors Barron and Olivia Stone as they introduce the basics of parallel programming in Python, providing the foundational knowledge you need to write more efficient, performant code. Barron and Olivia explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using Python. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2022-07-14 06:45 UTC,N/A,false,N/A,
